Date,Open,High,Low,Close,Volume,Change
02-Feb-23,91.24,91.24,88,89.34,"15,000",0.39
03-Feb-23,89.8,90.99,88.11,88.8,"6,000",-0.54
06-Feb-23,90,92.48,84.5,90.43,"46,500",1.63
07-Feb-23,91,93.5,90.1,92.07,"92,000",1.64
08-Feb-23,91.01,94,89,92.53,"165,500",0.46
09-Feb-23,93,98.45,93,95.54,"160,000",3.01
10-Feb-23,94,94.74,90.61,92.14,"63,500",-3.4
13-Feb-23,91.7,94.5,91.2,92.02,"70,500",-0.12
14-Feb-23,91.26,93,90.21,90.95,"39,000",-1.07
15-Feb-23,91,91,89.07,89.53,"57,500",-1.42
16-Feb-23,88.1,90.5,87.52,88.39,"55,000",-1.14
17-Feb-23,89.5,91,87.15,88.21,"15,500",-0.18
20-Feb-23,87.02,90.84,86.9,89.84,"31,000",1.63
21-Feb-23,90.5,91.69,87,90.56,"48,500",0.72
22-Feb-23,89.61,90.56,89.5,90.5,"9,000",-0.06
23-Feb-23,89.01,89.01,89,89,"2,500",-1.5
24-Feb-23,89,89.5,87,87.55,"33,000",-1.45
27-Feb-23,86.25,88.75,86.25,87.92,"7,000",0.37
28-Feb-23,86.23,94.51,85.51,91.83,"204,500",3.91
01-Mar-23,91,93,89.25,92.1,"37,000",0.27
02-Mar-23,91,94,90.25,90.89,"31,500",-1.21
03-Mar-23,89.61,94,89.61,92.59,"57,000",1.7
06-Mar-23,92,98.95,92,94.75,"168,500",2.16
07-Mar-23,95.8,95.8,92.55,93.94,"21,500",-0.81
08-Mar-23,94.99,95.9,92,92.59,"40,000",-1.35
09-Mar-23,92.5,92.9,90,92.19,"59,500",-0.4
10-Mar-23,93.4,95.89,92.5,93.33,"117,000",1.14
13-Mar-23,94.75,95.9,91.5,91.7,"66,500",-1.63
14-Mar-23,91.11,93,91,92,"26,500",0.3
15-Mar-23,91.51,92.3,91.1,91.52,"14,500",-0.48
16-Mar-23,92,94.5,91.7,92.13,"102,500",0.61
17-Mar-23,92.55,93.39,91.52,91.87,"19,500",-0.26
20-Mar-23,92.79,95.89,91,93.71,"110,000",1.84
21-Mar-23,92.62,94.92,92.5,93.4,"18,500",-0.31
22-Mar-23,92.5,92.74,91.07,91.47,"38,000",-1.93
24-Mar-23,89.01,89.85,88.2,88.9,"10,500",-2.57
27-Mar-23,88.9,89,88.35,88.85,"8,500",-0.05
